,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
194,Milwaukee Bucks,42,40,42,40,0.54,0.68,1.21,108.2,107.6,0.6,97.6,0.334,0.058,0.536,0.485,13.6,31.8,0.259,MECCA Arena,441615.0,11040.375,1988
195,New York Knicks,38,44,40,42,-0.49,0.63,0.14,105.9,106.4,-0.5,99.1,0.319,0.078,0.525,0.477,15.5,36.0,0.242,Madison Square Garden (IV),586752.0,14668.8,1988
196,Washington Bullets,38,44,39,43,-0.77,0.61,-0.16,106.5,107.2,-0.7,98.1,0.346,0.019,0.524,0.47,14.4,34.2,0.267,Capital Centre,433376.0,10834.4,1988
197,Indiana Pacers,38,44,39,43,-0.79,0.62,-0.18,106.6,107.4,-0.8,98.0,0.277,0.068,0.535,0.492,14.1,30.1,0.216,Market Square Arena,502244.0,12556.1,1988
198,Philadelphia 76ers,36,46,37,45,-1.44,0.65,-0.79,108.8,110.3,-1.5,96.0,0.403,0.069,0.543,0.485,15.2,35.4,0.308,The Spectrum,505245.0,12631.125,1988
199,Phoenix Suns,28,54,30,52,-4.48,-0.33,-4.8,107.0,111.4,-4.4,101.2,0.301,0.049,0.538,0.494,14.6,31.5,0.23,Arizona Veterans Memorial Coliseum,452354.0,11308.85,1988
200,San Antonio Spurs,31,51,29,53,-4.88,-0.14,-5.02,108.2,112.8,-4.6,104.4,0.319,0.055,0.54,0.499,14.1,32.0,0.234,HemisFair Arena,334354.0,8358.85,1988
201,Sacramento Kings,24,58,27,55,-5.76,-0.08,-5.84,106.5,112.1,-5.6,100.9,0.317,0.061,0.53,0.481,14.8,33.7,0.245,ARCO Arena (I),423653.0,10591.325,1988
202,New Jersey Nets,19,63,21,61,-8.11,1.13,-6.98,101.4,109.6,-8.2,98.6,0.337,0.066,0.523,0.478,16.0,30.4,0.245,Brendan Byrne Arena,476054.0,11901.35,1988
203,Golden State Warriors,20,62,21,61,-8.32,-0.06,-8.38,104.7,112.9,-8.2,101.6,0.298,0.042,0.524,0.474,14.3,31.2,0.237,Oakland-Alameda County Coliseum Arena,440294.0,11007.35,1988
204,Los Angeles Clippers,17,65,16,66,-10.32,0.07,-10.24,97.4,107.6,-10.2,100.8,0.32,0.044,0.494,0.449,15.7,30.9,0.229,Los Angeles Memorial Sports Arena,345589.0,8639.725,1988
205,Cleveland Cavaliers,57,25,60,22,7.6,0.35,7.95,110.6,102.9,7.7,98.0,0.353,0.069,0.559,0.514,14.2,31.2,0.264,Coliseum at Richfield,721426.0,18035.65,1989
206,Phoenix Suns,55,27,59,23,7.7,-0.86,6.84,113.1,105.7,7.4,104.5,0.344,0.064,0.56,0.509,12.8,30.8,0.272,Arizona Veterans Memorial Coliseum,447061.0,11176.525,1989
207,Los Angeles Lakers,57,25,58,24,7.17,-0.79,6.38,113.8,106.7,7.1,100.1,0.351,0.093,0.57,0.518,14.0,33.0,0.282,Great Western Forum,717349.0,17933.725,1989
208,Detroit Pistons,63,19,56,26,5.8,0.44,6.24,110.8,104.7,6.1,95.5,0.346,0.058,0.551,0.502,14.4,34.5,0.266,The Palace of Auburn Hills,879405.0,21985.125,1989
209,Utah Jazz,51,31,55,27,5.02,-1.01,4.01,106.6,101.5,5.1,98.0,0.416,0.058,0.55,0.491,16.4,32.0,0.32,Salt Palace,509501.0,12737.525,1989
210,Atlanta Hawks,52,30,54,28,4.91,0.35,5.26,112.2,107.2,5.0,98.3,0.375,0.055,0.54,0.48,13.5,37.1,0.3,Omni Coliseum,644291.0,16107.275,1989
211,Milwaukee Bucks,49,33,50,32,3.61,0.5,4.11,110.1,106.4,3.7,98.6,0.332,0.079,0.544,0.487,13.7,32.7,0.273,Bradley Center,700984.0,17524.6,1989
212,New York Knicks,52,30,50,32,3.77,-0.15,3.62,111.1,107.5,3.6,104.4,0.311,0.151,0.553,0.512,15.4,36.2,0.234,Madison Square Garden (IV),746851.0,18671.275,1989
213,Seattle SuperSonics,47,35,48,34,2.9,-0.46,2.44,111.5,108.6,2.9,100.1,0.318,0.104,0.539,0.496,14.1,38.3,0.237,Seattle Center Coliseum,456765.0,11419.125,1989
214,Denver Nuggets,44,38,45,37,1.7,-0.78,0.91,108.6,107.1,1.5,107.5,0.284,0.083,0.528,0.482,11.8,29.6,0.224,McNichols Sports Arena,527337.0,13183.425,1989
215,Philadelphia 76ers,46,36,45,37,1.5,0.18,1.68,113.0,111.5,1.5,98.5,0.348,0.09,0.552,0.5,12.8,32.2,0.274,The Spectrum,531715.0,13292.875,1989
216,Chicago Bulls,47,35,45,37,1.44,0.69,2.13,109.1,107.7,1.4,97.0,0.302,0.076,0.553,0.507,14.4,30.7,0.238,Chicago Stadium,736962.0,18424.05,1989
217,Portland Trail Blazers,39,43,45,37,1.46,-0.55,0.92,109.4,108.0,1.4,103.9,0.31,0.083,0.53,0.488,13.9,36.7,0.23,Memorial Coliseum,527008.0,13175.2,1989
218,Boston Celtics,42,40,44,38,1.16,0.1,1.26,110.8,109.6,1.2,98.1,0.329,0.043,0.548,0.498,14.0,34.7,0.258,Boston Garden,611537.0,15288.425,1989
219,Houston Rockets,45,37,44,38,0.95,-0.73,0.22,105.7,104.8,0.9,101.8,0.351,0.073,0.535,0.486,15.9,33.3,0.265,The Summit,680728.0,17018.2,1989
220,Golden State Warriors,43,39,40,42,-0.3,-0.29,-0.59,107.4,107.7,-0.3,107.3,0.299,0.079,0.529,0.48,14.2,33.4,0.239,Oakland-Alameda County Coliseum Arena,587820.0,14695.5,1989
221,Dallas Mavericks,38,44,38,44,-1.21,-0.59,-1.79,107.4,108.6,-1.2,95.9,0.327,0.098,0.536,0.484,13.5,29.5,0.258,Reunion Arena,695056.0,17376.4,1989
222,Washington Bullets,40,42,35,47,-2.16,0.39,-1.77,106.4,108.5,-2.1,100.8,0.305,0.032,0.516,0.467,13.0,33.1,0.236,Capital Centre,253980.0,6349.5,1989
223,Indiana Pacers,28,54,30,52,-4.17,1.17,-3.0,106.8,111.0,-4.2,99.2,0.328,0.089,0.552,0.502,16.3,31.5,0.258,Market Square Arena,335298.0,8382.45,1989
224,Sacramento Kings,27,55,27,55,-5.55,0.2,-5.35,104.5,110.0,-5.5,100.5,0.286,0.112,0.523,0.478,14.2,30.5,0.22,ARCO Arena (II),677197.0,16929.925,1989
225,New Jersey Nets,26,56,25,57,-6.35,0.66,-5.69,103.0,109.3,-6.3,100.1,0.313,0.079,0.517,0.474,15.0,32.7,0.229,Brendan Byrne Arena,378397.0,9459.925,1989
226,San Antonio Spurs,21,61,23,59,-7.28,-0.17,-7.45,100.9,107.9,-7.0,104.1,0.319,0.04,0.512,0.472,16.8,34.5,0.223,HemisFair Arena,323573.0,8089.325,1989
227,Charlotte Hornets,20,62,21,61,-8.52,0.79,-7.74,103.7,112.1,-8.4,100.3,0.277,0.058,0.514,0.47,13.7,30.3,0.213,Charlotte Coliseum,949858.0,23746.45,1989
228,Los Angeles Clippers,21,61,18,64,-9.91,0.41,-9.5,100.8,110.2,-9.4,104.4,0.299,0.032,0.518,0.478,16.5,31.2,0.216,Los Angeles Memorial Sports Arena,286614.0,7165.35,1989
229,Miami Heat,15,67,15,67,-11.23,0.1,-11.13,97.8,109.0,-11.2,99.1,0.296,0.042,0.498,0.459,17.7,35.6,0.208,Miami Arena,612754.0,15318.85,1989
230,Los Angeles Lakers,63,19,58,24,6.78,-0.04,6.74,114.0,107.0,7.0,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,Great Western Forum,712498.0,17812.45,1990
231,Phoenix Suns,54,28,58,24,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,Arizona Veterans Memorial Coliseum,578661.0,14466.525,1990
232,Detroit Pistons,59,23,57,25,6.09,-0.68,5.41,109.9,103.5,6.4,94.4,0.323,0.078,0.537,0.49,13.4,34.2,0.245,The Palace of Auburn Hills,879705.0,21992.625,1990
233,Portland Trail Blazers,59,23,57,25,6.32,0.16,6.48,110.5,104.4,6.1,102.3,0.362,0.075,0.535,0.486,13.4,36.5,0.269,Memorial Coliseum,528132.0,13203.3,1990
234,Philadelphia 76ers,53,29,54,28,4.99,-0.75,4.23,113.5,108.4,5.1,96.5,0.357,0.077,0.556,0.502,12.9,32.0,0.281,The Spectrum,565926.0,14148.15,1990
235,Utah Jazz,55,27,54,28,4.79,0.03,4.82,110.3,105.4,4.9,96.1,0.377,0.096,0.57,0.522,15.5,30.1,0.284,Salt Palace,517256.0,12931.4,1990
236,Boston Celtics,52,30,51,31,3.99,-0.76,3.23,112.0,107.9,4.1,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,Boston Garden,611537.0,14890.0,1990
237,San Antonio Spurs,56,26,50,32,3.49,0.09,3.58,107.7,104.2,3.5,98.5,0.362,0.032,0.537,0.488,14.7,34.2,0.27,HemisFair Arena,586787.0,14669.675,1990
238,Chicago Bulls,55,27,50,32,3.26,-0.51,2.74,112.3,109.0,3.3,96.7,0.302,0.094,0.559,0.516,13.4,31.9,0.235,Chicago Stadium,752564.0,18814.1,1990
239,Houston Rockets,41,41,45,37,1.46,0.24,1.71,104.8,103.4,1.4,101.2,0.313,0.068,0.531,0.491,15.5,33.1,0.225,The Summit,649702.0,16242.55,1990
240,New York Knicks,45,37,45,37,1.41,-0.63,0.78,109.4,108.0,1.4,98.2,0.331,0.1,0.547,0.501,14.8,34.2,0.25,Madison Square Garden (IV),730432.0,18260.8,1990
241,Denver Nuggets,43,39,45,37,1.41,0.15,1.56,108.0,106.7,1.3,105.4,0.275,0.084,0.523,0.478,11.2,29.1,0.217,McNichols Sports Arena,484288.0,12107.2,1990
242,Seattle SuperSonics,41,41,44,38,1.04,0.36,1.4,110.9,109.8,1.1,95.3,0.299,0.09,0.535,0.494,14.0,37.5,0.222,Seattle Center Coliseum,473277.0,11831.925,1990
243,Atlanta Hawks,41,41,44,38,1.02,-0.39,0.64,113.0,111.9,1.1,95.8,0.362,0.059,0.547,0.496,13.5,36.3,0.277,Omni Coliseum,573711.0,14342.775,1990
244,Indiana Pacers,42,40,41,41,0.16,-0.34,-0.18,111.5,111.4,0.1,97.0,0.343,0.113,0.572,0.518,14.6,29.0,0.28,Market Square Arena,518923.0,12973.075,1990
245,Dallas Mavericks,47,35,41,41,0.07,0.35,0.42,107.2,107.2,0.0,94.5,0.331,0.071,0.536,0.487,13.6,30.3,0.254,Reunion Arena,691490.0,17287.25,1990
246,Cleveland Cavaliers,42,40,40,42,-0.3,-0.31,-0.62,106.9,107.2,-0.3,95.0,0.315,0.122,0.529,0.485,13.5,31.5,0.235,Coliseum at Richfield,695710.0,20273.0,1990
247,Milwaukee Bucks,44,38,39,43,-0.78,-0.28,-1.06,107.3,108.1,-0.8,98.0,0.318,0.094,0.533,0.488,13.9,31.5,0.241,Bradley Center,659602.0,16490.05,1990
248,Washington Bullets,31,51,35,47,-2.16,-0.27,-2.43,107.5,109.7,-2.2,99.4,0.276,0.026,0.519,0.477,12.4,32.4,0.211,Capital Centre,458332.0,11458.3,1990
249,Golden State Warriors,37,45,33,49,-3.13,0.59,-2.55,109.6,112.6,-3.0,105.9,0.397,0.104,0.563,0.501,14.3,26.1,0.321,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1990
250,Los Angeles Clippers,30,52,32,50,-3.39,0.59,-2.8,104.0,107.4,-3.4,99.2,0.359,0.034,0.536,0.488,16.3,30.9,0.265,Los Angeles Memorial Sports Arena,486621.0,12165.525,1990
251,Minnesota Timberwolves,22,60,29,53,-4.23,0.63,-3.6,103.6,108.2,-4.6,91.1,0.311,0.043,0.499,0.451,13.3,34.0,0.232,Hubert H. Humphrey Metrodome,1072572.0,26814.3,1990
252,Sacramento Kings,23,59,28,54,-5.06,0.65,-4.41,104.8,110.0,-5.2,96.7,0.278,0.092,0.527,0.484,13.5,27.3,0.215,ARCO Arena (II),697667.0,17441.675,1990
253,New Jersey Nets,17,65,21,61,-7.87,0.05,-7.82,100.7,108.6,-7.9,99.3,0.317,0.068,0.486,0.435,13.9,34.5,0.237,Brendan Byrne Arena,473760.0,11844.0,1990
254,Charlotte Hornets,19,63,21,61,-7.82,0.81,-7.0,102.0,109.9,-7.9,98.1,0.274,0.085,0.511,0.47,13.2,26.1,0.207,Charlotte Coliseum,979941.0,24498.525,1990
255,Orlando Magic,18,64,21,61,-8.91,0.19,-8.73,105.8,114.3,-8.5,104.1,0.362,0.052,0.521,0.467,13.9,33.7,0.274,Orlando Arena,617468.0,15436.7,1990
256,Miami Heat,18,64,18,64,-9.72,0.13,-9.59,99.3,108.9,-9.6,101.0,0.276,0.041,0.501,0.467,15.9,33.5,0.19,Miami Arena,615328.0,15383.2,1990
257,Chicago Bulls,61,21,63,19,9.1,-0.53,8.57,114.6,105.2,9.4,95.6,0.296,0.06,0.56,0.521,12.8,34.7,0.225,Chicago Stadium,757745.0,18943.625,1991
258,Portland Trail Blazers,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,8.5,100.5,0.344,0.123,0.554,0.509,13.4,33.8,0.259,Memorial Coliseum,528244.0,12884.0,1991
259,Los Angeles Lakers,58,24,59,23,6.74,-0.01,6.73,112.1,105.0,7.1,94.1,0.327,0.108,0.551,0.5,13.2,33.0,0.261,Great Western Forum,682024.0,17505.0,1991
260,Phoenix Suns,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,6.5,101.0,0.372,0.06,0.558,0.506,13.5,33.0,0.287,Arizona Veterans Memorial Coliseum,589591.0,14739.775,1991
261,Boston Celtics,56,26,56,26,5.82,-0.6,5.22,112.6,106.7,5.9,98.5,0.277,0.048,0.565,0.52,14.0,33.0,0.228,Boston Garden,611537.0,15288.425,1991
262,San Antonio Spurs,55,27,53,29,4.51,-0.21,4.3,107.8,103.3,4.5,98.6,0.352,0.043,0.544,0.494,15.2,33.3,0.269,HemisFair Arena,651965.0,16299.125,1991
263,Detroit Pistons,50,32,50,32,3.27,-0.19,3.08,108.2,104.6,3.6,91.9,0.322,0.064,0.523,0.474,13.1,34.7,0.245,The Palace of Auburn Hills,879614.0,21990.35,1991
264,Utah Jazz,54,28,50,32,3.33,-0.15,3.18,108.6,105.1,3.5,95.3,0.378,0.07,0.559,0.503,14.6,27.6,0.298,Salt Palace,514751.0,12868.775,1991
265,Houston Rockets,52,30,50,32,3.5,-0.23,3.27,107.4,103.9,3.5,98.5,0.302,0.136,0.53,0.489,14.5,34.4,0.224,The Summit,613230.0,15330.75,1991
266,Milwaukee Bucks,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.323,0.108,0.55,0.499,14.3,31.8,0.258,Bradley Center,673687.0,16842.175,1991
267,Golden State Warriors,44,38,45,37,1.63,0.09,1.72,111.9,110.3,1.6,103.6,0.376,0.109,0.559,0.504,13.7,31.0,0.294,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1991
268,Seattle SuperSonics,41,41,44,38,1.23,0.08,1.31,109.7,108.5,1.2,96.2,0.301,0.06,0.542,0.501,14.8,36.3,0.226,Seattle Center Coliseum,501250.0,12531.25,1991
269,Atlanta Hawks,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,0.8,98.6,0.352,0.116,0.54,0.482,12.9,33.1,0.282,Omni Coliseum,529161.0,13229.025,1991
270,New York Knicks,39,43,40,42,-0.23,-0.2,-0.43,107.1,107.3,-0.2,95.0,0.315,0.082,0.544,0.498,15.1,31.1,0.242,Madison Square Garden (IV),654962.0,16374.05,1991
271,Philadelphia 76ers,44,38,41,41,-0.18,-0.21,-0.39,107.9,108.1,-0.2,95.7,0.342,0.089,0.542,0.489,13.4,28.1,0.27,The Spectrum,624582.0,15614.55,1991
272,Indiana Pacers,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,0.354,0.107,0.566,0.511,14.4,30.6,0.287,Market Square Arena,465650.0,11641.25,1991
273,Cleveland Cavaliers,33,49,34,48,-2.46,0.14,-2.33,106.1,108.7,-2.6,95.1,0.317,0.07,0.534,0.487,14.1,29.7,0.243,Coliseum at Richfield,623735.0,15593.375,1991
274,Los Angeles Clippers,31,51,32,50,-3.45,0.29,-3.16,103.0,106.5,-3.5,99.9,0.311,0.059,0.511,0.471,14.7,33.3,0.218,Los Angeles Memorial Sports Arena,522111.0,13052.775,1991
275,Orlando Magic,31,51,31,51,-3.98,0.18,-3.79,105.9,109.9,-4.0,99.5,0.337,0.104,0.521,0.473,14.3,33.0,0.251,Orlando Arena,617668.0,15441.7,1991
276,Minnesota Timberwolves,29,53,30,52,-3.93,0.18,-3.75,106.7,110.9,-4.2,92.3,0.286,0.052,0.499,0.456,11.5,34.9,0.21,Target Center,779530.0,19488.25,1991
277,New Jersey Nets,26,56,29,53,-4.51,-0.02,-4.53,102.9,107.4,-4.5,99.3,0.301,0.079,0.5,0.455,14.4,35.7,0.222,Brendan Byrne Arena,480786.0,12019.65,1991
278,Dallas Mavericks,28,54,29,53,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,0.288,0.087,0.528,0.485,13.3,28.3,0.219,Reunion Arena,683927.0,17098.175,1991
279,Washington Bullets,30,52,28,54,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,0.279,0.039,0.509,0.47,14.3,32.2,0.203,Capital Centre,443683.0,11092.075,1991
280,Charlotte Hornets,26,56,27,55,-5.24,0.3,-4.95,105.0,110.4,-5.4,97.3,0.315,0.059,0.526,0.477,13.9,29.0,0.245,Charlotte Coliseum,978141.0,24453.525,1991
281,Miami Heat,24,58,25,57,-5.99,0.08,-5.91,102.0,108.1,-6.1,99.3,0.323,0.065,0.512,0.469,16.0,34.3,0.231,Miami Arena,615328.0,15383.2,1991
282,Sacramento Kings,25,57,23,59,-6.78,0.51,-6.27,102.0,109.1,-7.1,94.7,0.309,0.085,0.512,0.468,14.1,28.8,0.226,ARCO Arena (II),697604.0,17440.1,1991
283,Denver Nuggets,20,62,19,63,-10.91,0.6,-10.31,105.2,114.7,-9.5,113.7,0.255,0.119,0.498,0.457,11.9,33.1,0.195,McNichols Sports Arena,438103.0,10952.575,1991
284,Chicago Bulls,67,15,66,16,10.44,-0.37,10.07,115.5,104.5,11.0,94.4,0.297,0.063,0.556,0.518,11.8,35.1,0.221,Chicago Stadium,759980.0,18999.5,1992
285,Portland Trail Blazers,57,25,59,23,7.27,-0.33,6.94,111.4,104.2,7.2,99.0,0.335,0.128,0.541,0.495,13.6,35.6,0.253,Memorial Coliseum,528408.0,12888.0,1992
286,Utah Jazz,55,27,57,25,6.39,-0.69,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,0.504,13.7,32.7,0.286,Delta Center,806663.0,20166.575,1992
287,Phoenix Suns,53,29,56,26,5.94,-0.26,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,0.508,13.1,31.7,0.258,Arizona Veterans Memorial Coliseum,594327.0,14858.175,1992
288,Cleveland Cavaliers,57,25,55,27,5.45,-0.11,5.34,113.9,108.2,5.7,95.0,0.322,0.101,0.557,0.506,11.8,30.5,0.259,Coliseum at Richfield,677408.0,16935.2,1992
289,New York Knicks,51,31,52,30,3.89,-0.22,3.67,108.3,104.2,4.1,92.9,0.295,0.089,0.531,0.491,13.7,34.6,0.216,Madison Square Garden (IV),726608.0,17879.0,1992
290,Boston Celtics,51,31,51,31,3.62,-0.21,3.41,110.8,107.0,3.8,95.8,0.266,0.05,0.544,0.5,12.7,31.9,0.215,Boston Garden,610776.0,14890.0,1992
291,Golden State Warriors,55,27,50,32,3.9,-0.14,3.77,113.6,109.9,3.7,103.4,0.351,0.103,0.568,0.524,13.6,31.8,0.262,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1992
292,San Antonio Spurs,47,35,50,32,3.32,-0.51,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,0.485,13.9,34.2,0.233,HemisFair Arena,658337.0,16057.0,1992
293,Detroit Pistons,48,34,47,35,2.04,0.01,2.06,107.5,105.3,2.2,91.6,0.307,0.077,0.52,0.477,13.5,34.9,0.228,The Palace of Auburn Hills,879614.0,21454.0,1992
294,Seattle SuperSonics,47,35,46,36,1.88,-0.02,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.538,0.489,14.0,36.5,0.249,Seattle Center Coliseum,588928.0,14723.2,1992
295,Indiana Pacers,40,42,46,36,1.89,-0.04,1.85,111.7,109.9,1.8,99.0,0.334,0.133,0.566,0.518,14.7,31.8,0.264,Market Square Arena,517352.0,12933.8,1992
296,Los Angeles Clippers,45,37,44,38,1.07,0.03,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,0.483,13.6,31.6,0.226,Los Angeles Memorial Sports Arena,500200.0,12505.0,1992
297,Los Angeles Lakers,43,39,38,44,-1.1,0.15,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,0.465,12.0,32.7,0.25,Great Western Forum,699240.0,17481.0,1992
298,Philadelphia 76ers,35,47,37,45,-1.27,-0.07,-1.34,108.3,109.7,-1.4,93.7,0.335,0.101,0.539,0.488,13.8,30.9,0.26,The Spectrum,574137.0,14353.425,1992
299,Atlanta Hawks,38,44,37,45,-1.5,0.35,-1.15,107.3,108.9,-1.6,97.8,0.277,0.09,0.519,0.481,13.0,33.6,0.203,Omni Coliseum,511803.0,12795.075,1992
300,New Jersey Nets,40,42,36,46,-1.7,0.15,-1.54,107.0,108.7,-1.7,98.0,0.265,0.088,0.51,0.473,14.1,39.1,0.194,Brendan Byrne Arena,517356.0,20049.0,1992
301,Houston Rockets,42,40,36,46,-1.72,-0.22,-1.94,106.2,108.0,-1.8,95.1,0.293,0.139,0.537,0.499,15.0,30.9,0.216,The Summit,592790.0,15021.0,1992
302,Milwaukee Bucks,31,51,36,46,-1.71,0.26,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,0.486,14.2,35.9,0.221,Bradley Center,635515.0,15887.875,1992
303,Charlotte Hornets,31,51,31,51,-3.9,0.33,-3.57,107.1,110.9,-3.8,101.7,0.286,0.049,0.527,0.485,13.0,31.1,0.216,Charlotte Coliseum,971618.0,24290.45,1992
304,Miami Heat,38,44,30,52,-4.21,0.27,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,0.479,14.6,33.0,0.26,Miami Arena,613583.0,15339.575,1992
305,Washington Bullets,25,57,29,53,-4.46,0.11,-4.35,103.9,108.4,-4.5,97.7,0.268,0.074,0.514,0.471,13.3,28.9,0.208,Capital Centre,505988.0,12649.7,1992
306,Sacramento Kings,29,53,26,56,-6.06,0.44,-5.63,103.9,109.9,-6.0,99.6,0.301,0.094,0.525,0.482,14.3,28.5,0.225,ARCO Arena (II),697574.0,17439.35,1992
307,Orlando Magic,21,61,23,59,-6.91,0.4,-6.52,103.5,110.5,-7.0,98.0,0.319,0.086,0.514,0.467,14.6,32.4,0.238,Orlando Arena,621191.0,15529.775,1992
308,Minnesota Timberwolves,15,67,23,59,-7.05,0.2,-6.85,105.0,112.4,-7.4,95.1,0.253,0.054,0.505,0.467,12.4,31.5,0.188,Target Center,769035.0,19225.875,1992
309,Denver Nuggets,24,58,21,61,-7.87,0.28,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,0.451,14.9,34.8,0.207,McNichols Sports Arena,534323.0,13358.075,1992
310,Dallas Mavericks,22,60,21,61,-7.65,0.18,-7.47,103.0,111.1,-8.1,94.4,0.281,0.112,0.501,0.458,13.1,31.2,0.211,Reunion Arena,634380.0,15859.5,1992
311,Seattle SuperSonics,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,7.4,96.0,0.316,0.085,0.546,0.502,13.5,35.5,0.241,Seattle Center Coliseum,646589.0,16164.725,1993
312,Chicago Bulls,57,25,58,24,6.29,-0.1,6.19,112.9,106.1,6.8,92.5,0.271,0.093,0.535,0.499,12.0,36.3,0.199,Chicago Stadium,759656.0,18991.4,1993
313,Cleveland Cavaliers,54,28,58,24,6.45,-0.15,6.3,112.7,106.0,6.7,94.8,0.308,0.108,0.565,0.518,12.5,28.1,0.247,Coliseum at Richfield,751465.0,18786.625,1993
314,Phoenix Suns,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,0.521,14.2,33.0,0.27,America West Arena,779943.0,19498.575,1993
315,New York Knicks,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.336,0.088,0.526,0.479,14.1,33.1,0.249,Madison Square Garden (IV),804840.0,20121.0,1993
316,Houston Rockets,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.31,0.159,0.557,0.515,14.5,30.0,0.235,The Summit,554210.0,13855.25,1993
317,Portland Trail Blazers,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.347,0.115,0.526,0.476,12.6,32.7,0.259,Memorial Coliseum,528408.0,12888.0,1993
318,San Antonio Spurs,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.347,0.102,0.555,0.507,13.6,27.8,0.265,HemisFair Arena,658337.0,16458.425,1993
319,Utah Jazz,47,35,47,35,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.55,0.498,13.8,31.0,0.279,Delta Center,815892.0,20397.3,1993
320,Indiana Pacers,41,41,46,36,1.7,0.08,1.77,111.9,110.1,1.8,96.0,0.342,0.112,0.547,0.498,13.5,34.2,0.262,Market Square Arena,530891.0,13272.275,1993
321,Orlando Magic,41,41,45,37,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.372,0.133,0.554,0.509,15.5,31.4,0.271,Orlando Arena,621191.0,15529.775,1993
322,New Jersey Nets,43,39,45,37,1.26,-0.05,1.2,106.5,105.2,1.3,96.0,0.319,0.069,0.522,0.473,14.4,35.5,0.244,Brendan Byrne Arena,620416.0,15510.4,1993
323,Boston Celtics,48,34,43,39,0.89,0.04,0.93,108.7,107.8,0.9,94.9,0.27,0.054,0.536,0.495,12.9,31.2,0.21,Boston Garden,608495.0,15212.375,1993
324,Los Angeles Clippers,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.53,0.493,13.9,32.7,0.213,Los Angeles Memorial Sports Arena,532625.0,13315.625,1993
325,Charlotte Hornets,44,38,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,0.329,0.074,0.547,0.499,13.8,31.3,0.254,Charlotte Coliseum,971880.0,24297.0,1993
326,Atlanta Hawks,43,39,39,43,-0.87,0.2,-0.67,109.3,110.2,-0.9,97.6,0.305,0.148,0.534,0.493,14.0,34.8,0.227,Omni Coliseum,491229.0,12280.725,1993
327,Golden State Warriors,34,48,38,44,-0.99,0.05,-0.94,109.2,110.2,-1.0,99.5,0.342,0.118,0.543,0.502,14.9,34.2,0.245,Oakland-Alameda County Coliseum Arena,616025.0,15400.625,1993
328,Miami Heat,36,46,38,44,-1.15,0.21,-0.93,107.7,108.9,-1.2,94.6,0.361,0.137,0.535,0.481,13.9,31.9,0.279,Miami Arena,614915.0,15372.875,1993
329,Los Angeles Lakers,39,43,38,44,-1.27,0.06,-1.2,107.6,108.9,-1.3,96.2,0.329,0.09,0.534,0.486,13.7,31.4,0.249,Great Western Forum,633655.0,15841.375,1993
330,Detroit Pistons,40,42,37,45,-1.39,0.29,-1.1,107.4,108.9,-1.5,93.2,0.271,0.126,0.511,0.473,12.5,34.6,0.198,The Palace of Auburn Hills,889614.0,22240.35,1993
331,Denver Nuggets,36,46,36,46,-1.74,-0.4,-2.14,104.6,106.3,-1.7,99.8,0.324,0.062,0.518,0.47,14.5,33.6,0.245,McNichols Sports Arena,586407.0,14660.175,1993
