,Unnamed: 0,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm,PREDICTED_W,W_SIGMA,DELTA
0,7,Boston Celtics,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.258,0.475,16.5,67.8,0.234,Boston Garden,596349.0,14664.0,1980,1.6453608247422682,1.040842677539925,0.9593813046402152,0.995564180759634,1.104038004750594,1.0368973875572314,1.031167303734196,0.991264367816092,1.0439254338975787,1.1238332296204108,0.9703779366700714,1.089622641509434,1.0158390410958904,1.0033690658499237,61.92909535707612,3.159591540137257,-0.9290953570761218
1,8,Los Angeles Lakers,26.2,60,22,55,27,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.22,0.475,14.0,66.9,0.181,The Forum,582882.0,17505.0,1980,0.4041237113402062,1.0417940876656473,0.9782111634162745,1.0101192126420848,0.944418052256532,1.07271747912739,1.090855630696854,1.0620689655172413,0.9779301478465824,0.958307405102676,0.9703779366700714,0.9245283018867924,1.0023544520547945,0.7761102603369064,58.81338751475905,3.1813677246601784,1.1866124852409499
2,9,Seattle SuperSonics,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.229,0.463,15.4,67.9,0.221,King County Domed Stadium,1149040.0,28726.0,1980,0.7216494845360826,1.0065919130139314,0.9527908540685944,0.9878014970889936,0.9909738717339668,0.9803393482359276,0.97559541311379,0.9590804597701148,1.0919220055710308,0.9975108898568762,0.9458631256384066,1.0169811320754718,1.0173373287671232,0.947626339969372,54.42977432850358,3.149480338003759,1.5702256714964165
3,10,Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.274,0.023,0.519,0.476,13.2,33.1,0.212,0.505,16.3,65.9,0.216,Coliseum at Richfield,617720.0,15443.0,1980,0.6639175257731958,1.0151546041454298,1.0017484868863484,1.0246742445245356,0.911163895486936,0.978454080258551,0.9797118494560424,0.8496551724137931,0.9929290764945362,0.923459863098942,1.031664964249234,1.076415094339623,0.9873715753424658,0.926186830015314,41.38868329188911,3.1559740527409263,-4.388683291889109
4,11,Houston Rockets,27.3,41,41,41,41,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.533,0.487,15.5,37.6,0.238,0.499,16.1,63.2,0.23,The Summit,546240.0,13656.0,1980,1.472164948453608,1.0284743459055383,1.0168123739071957,0.9819794843360136,1.0308788598574825,1.004847831941826,1.00235224933843,0.9977011494252872,1.1279194343261196,1.0367143746110763,1.0194075587334015,1.0632075471698117,0.946917808219178,0.9862174578866768,43.8807402443586,3.1630180264112764,-2.8807402443585985
5,12,New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.251,0.472,16.5,66.4,0.263,Rutgers Athletic Center,294560.0,7364.0,1980,1.154639175257732,0.965681277607883,0.965030262273033,1.029525921818686,1.067458432304038,0.9765688122811742,0.959129667744781,1.0685057471264368,0.9629312191986288,1.0933416303671435,0.9642492339121552,1.089622641509434,0.9948630136986302,1.1277182235834609,38.587640991619466,3.158968515283573,-4.587640991619466
6,13,New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.296,0.025,0.539,0.498,15.7,33.7,0.221,0.498,16.4,64.0,0.263,Madison Square Garden (IV),783640.0,19591.0,1980,0.7216494845360826,1.0132517838939856,1.0121049092131809,1.033407263654006,0.9843230403800476,1.0161594398060867,1.0249926492208177,1.0105747126436782,1.0109277908720808,0.9626633478531426,1.017364657814096,1.0830188679245285,0.958904109589041,1.1277182235834609,38.599112797233225,3.155190064515185,0.4008872027667749
7,14,Washington Bullets,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.199,0.469,12.3,69.5,0.218,Capital Centre,380720.0,9518.0,1980,0.8948453608247423,0.981855249745158,0.9951580363147278,0.995564180759634,0.8745843230403801,0.9501750605978992,0.9529550132314026,0.88183908045977,0.9989286479537176,0.866832607342875,0.958120531154239,0.8122641509433963,1.0413099315068493,0.9347626339969372,39.7344228809578,3.167604541381445,-0.7344228809578013
8,15,Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.291,0.5,15.7,68.0,0.251,Chicago Stadium,740320.0,18508.0,1980,1.154639175257732,0.9923207611281004,1.0073974445191662,0.9878014970889936,1.2403800475059383,1.0274710476703477,1.0064686856806822,1.1071264367816092,0.9659310049282196,1.267579340385812,1.0214504596527068,1.0367924528301886,1.018835616438356,1.0762633996937212,37.21633905376269,3.159505258989166,-7.216339053762688
9,16,San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.213,0.503,14.2,65.4,0.215,San Diego Sports Arena,340120.0,8503.0,1980,2.078350515463917,1.0056405028882094,1.033759246805649,0.9839201552536736,0.96104513064133,0.9841098841906812,0.9920611584827992,0.9397701149425288,1.0259267195200346,0.9278158058494088,1.0275791624106232,0.9377358490566038,0.9798801369863014,0.9218989280245022,35.32925812275756,3.1816109267706425,-0.32925812275755817
10,17,Denver Nuggets,27.1,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,McNichols Sports Arena,691920.0,17298.0,1980,0.9814432989690722,0.983758069996602,1.0130464021519838,1.008178541724425,1.1306413301662708,0.9746835443037974,0.9653043222581594,0.9719540229885056,1.00792800514249,1.088985687616677,1.0153217568947903,0.9509433962264152,1.0158390410958904,0.960490045941807,33.805282879053095,3.147086107441988,-3.8052828790530953
11,18,Golden State Warriors,26.3,24,58,29,53,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Oakland-Alameda County Coliseum Arena,530280.0,13257.0,1980,0.4907216494845361,0.9704383282364932,1.0008069939475457,0.975187136124203,0.8712589073634205,0.9803393482359276,0.9961775948250516,0.9977011494252872,0.9329333619027214,0.8406969508400747,1.017364657814096,1.0235849056603774,1.0458047945205478,1.1705972434915772,30.99647214677114,3.1719099557008072,-6.99647214677114
12,19,Utah Jazz,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Salt Palace,493080.0,12327.0,1980,0.7793814432989691,0.9913693510023786,1.039408204438467,0.9470474078181316,0.9477434679334916,1.031241583625101,1.0291090855630698,1.074942528735632,0.8909363616884509,1.001866832607343,1.0214504596527068,0.8915094339622642,1.00535102739726,1.0162327718223585,30.611405739962674,3.1689024638780783,-6.611405739962674
13,20,Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,0.283,0.029,0.523,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Pontiac Silverdome,445520.0,11138.0,1980,0.8371134020618557,0.962827047230717,1.0243443174176194,1.0392292764069864,0.9410926365795724,0.985995152168058,0.9941193766539254,1.0878160919540227,0.9689307906578102,0.910392034847542,1.0194075587334015,1.0037735849056604,0.9693921232876712,1.0248085758039815,25.913520327627054,3.14768923990974,-9.913520327627054
14,21,Philadelphia 76ers,27.2,62,20,60,22,7.85,-0.09,7.76,107.0,99.5,7.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252,The Spectrum,469355.0,11733.875,1981,0.523719165085389,1.014218009478673,0.9427782812886216,1.0154568744662682,1.048650804200452,1.0514927194338242,1.0539193878458937,1.1058921623123958,0.9651812394439392,1.0748805098247478,0.9285904846598488,1.0422574367528497,1.0084291688447464,1.0254777070063694,60.58288743165597,3.1637621868093238,1.4171125683440309
15,22,Milwaukee Bucks,26.6,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,6.9,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28,MECCA Arena,448366.0,11209.15,1981,0.7855787476280834,1.0303317535545025,0.964571146082228,1.0174210076857386,0.9569320749700916,1.0215569836492313,1.0232227066464987,1.0036131183991106,1.084708327919969,0.9812356169233492,0.94290795909293,1.0614400889630249,0.9858860428646103,1.1394196744515217,57.97996716626412,3.160687007009891,2.0200328337358826
16,23,Boston Celtics,27.0,62,20,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67.0,0.24,Boston Garden,595454.0,14886.35,1981,1.4838709677419355,1.0274881516587675,0.9721512729669604,0.9899231426131512,1.021135185431344,1.0346538680549906,1.0416407153661358,1.035575319622012,1.036897492529557,1.0219507877500442,0.9490440195642508,0.965526827912149,1.006926293779404,0.9766454352441613,57.43395440043028,3.1510060421585617,4.566045599569719
