,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,DRB%,OFT/FGA,Arena,Attend.,Attend./G,Year,3PAr_Norm,ORtg_Norm,DRtg_Norm,Pace_Norm,FTr_Norm,TS%_Norm,eFG%_Norm,TOV%_Norm,ORB%_Norm,FT/FGA_Norm,OeFG%_Norm,OTOV%_Norm,DRB%_Norm,OFT/FGA_Norm
17,Denver Nuggets,27.1,30,52,30,52,-4.41,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.25,0.497,14.4,67.8,0.224,McNichols Sports Arena,691920.0,17298.0,1980,0.9814432989690722,0.9837580699966021,1.0130464021519838,1.008178541724425,1.1306413301662708,0.9746835443037974,0.9653043222581594,0.9719540229885056,1.00792800514249,1.088985687616677,1.0153217568947905,0.9509433962264151,1.0158390410958904,0.960490045941807
18,Golden State Warriors,26.3,24,58,29,53,-4.39,0.2,-4.2,102.0,106.3,-4.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.193,0.498,15.5,69.8,0.273,Oakland-Alameda County Coliseum Arena,530280.0,13257.0,1980,0.4907216494845361,0.9704383282364933,1.0008069939475455,0.975187136124203,0.8712589073634205,0.9803393482359277,0.9961775948250515,0.9977011494252873,0.9329333619027214,0.8406969508400747,1.017364657814096,1.0235849056603774,1.0458047945205478,1.1705972434915772
19,Utah Jazz,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.23,0.5,13.5,67.1,0.237,Salt Palace,493080.0,12327.0,1980,0.7793814432989691,0.9913693510023786,1.039408204438467,0.9470474078181315,0.9477434679334916,1.031241583625101,1.0291090855630698,1.074942528735632,0.8909363616884509,1.001866832607343,1.0214504596527068,0.8915094339622642,1.0053510273972601,1.0162327718223583
20,Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,0.283,0.029,0.523,0.483,16.9,32.3,0.209,0.499,15.2,64.7,0.239,Pontiac Silverdome,445520.0,11138.0,1980,0.8371134020618557,0.962827047230717,1.0243443174176194,1.0392292764069864,0.9410926365795723,0.9859951521680581,0.9941193766539254,1.0878160919540227,0.9689307906578102,0.9103920348475419,1.0194075587334015,1.0037735849056604,0.9693921232876712,1.0248085758039815
21,Philadelphia 76ers,27.2,62,20,60,22,7.85,-0.09,7.76,107.0,99.5,7.5,103.4,0.343,0.012,0.562,0.515,17.3,32.3,0.264,0.454,16.3,67.1,0.252,The Spectrum,469355.0,11733.875,1981,0.523719165085389,1.014218009478673,0.9427782812886216,1.0154568744662682,1.048650804200452,1.0514927194338242,1.0539193878458937,1.1058921623123958,0.9651812394439393,1.0748805098247478,0.9285904846598487,1.0422574367528497,1.0084291688447464,1.0254777070063694
22,Milwaukee Bucks,26.6,60,22,59,23,7.27,-0.13,7.14,108.7,101.8,6.9,103.6,0.313,0.018,0.546,0.5,15.7,36.3,0.241,0.461,16.6,65.6,0.28,MECCA Arena,448366.0,11209.15,1981,0.7855787476280834,1.0303317535545025,0.9645711460822279,1.0174210076857386,0.9569320749700917,1.0215569836492313,1.0232227066464987,1.0036131183991106,1.084708327919969,0.9812356169233493,0.9429079590929301,1.0614400889630249,0.9858860428646105,1.1394196744515217
23,Boston Celtics,27.0,62,20,56,26,5.88,0.17,6.05,108.4,102.6,5.8,100.8,0.334,0.034,0.553,0.509,16.2,34.7,0.251,0.464,15.1,67.0,0.24,Boston Garden,595454.0,14886.35,1981,1.4838709677419355,1.0274881516587677,0.9721512729669605,0.9899231426131512,1.021135185431344,1.0346538680549906,1.0416407153661358,1.035575319622012,1.0368974925295573,1.0219507877500442,0.9490440195642508,0.965526827912149,1.0069262937794041,0.9766454352441613
24,Phoenix Suns,25.7,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,5.2,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244,Arizona Veterans Memorial Coliseum,482693.0,12067.325,1981,0.9601518026565464,0.9914691943127961,0.94183076542803,1.0282237403928267,1.0150206034826532,1.0047181322703977,1.0068511433401548,1.0931072818232352,1.0488502013771601,1.0056647194193662,0.963361493997332,1.1189880455935501,1.0249607945635129,0.9929228591648973
25,Los Angeles Lakers,27.0,54,28,51,31,3.84,-0.57,3.27,107.6,103.9,3.7,102.7,0.286,0.013,0.548,0.513,15.8,33.9,0.209,0.468,14.6,64.4,0.208,The Forum,538865.0,13471.625,1981,0.5673624288425048,1.019905213270142,0.9844689791546511,1.0085824081981214,0.8743852186627674,1.0252989506223054,1.0498264970193079,1.010005558643691,1.012992074834351,0.8509470702779253,0.9572254335260115,0.9335557408951904,0.967851542080502,0.846426043878273
26,San Antonio Spurs,26.7,52,30,48,34,2.88,-0.7,2.18,108.5,105.7,2.8,102.9,0.367,0.012,0.545,0.492,15.4,37.5,0.282,0.475,14.1,68.0,0.233,HemisFair Arena,440553.0,11013.825,1981,0.523719165085389,1.028436018957346,1.0015242646452995,1.0105465414175918,1.1220257875847401,1.0196860001626942,1.0068511433401548,0.9844357976653696,1.1205664544627778,1.1481678173127987,0.9715429079590928,0.9015846538782318,1.021955044432828,0.9481599433828733
